,country,city_ascii,iso3
0,Japan,Tokyo,JPN
1,United States,New York,USA
2,Mexico,Mexico City,MEX
3,India,Mumbai,IND
4,Brazil,Sao Paulo,BRA
5,India,Delhi,IND
6,China,Shanghai,CHN
7,India,Kolkata,IND
8,United States,Los Angeles,USA
9,Bangladesh,Dhaka,BGD
10,Argentina,Buenos Aires,ARG
11,Pakistan,Karachi,PAK
12,Egypt,Cairo,EGY
13,Brazil,Rio de Janeiro,BRA
14,Japan,Osaka,JPN
15,China,Beijing,CHN
16,Philippines,Manila,PHL
17,Russia,Moscow,RUS
18,Turkey,Istanbul,TUR
19,France,Paris,FRA
20,"Korea, South",Seoul,KOR
21,Nigeria,Lagos,NGA
22,Indonesia,Jakarta,IDN
23,China,Guangzhou,CHN
24,United States,Chicago,USA
25,United Kingdom,London,GBR
26,Peru,Lima,PER
27,Iran,Tehran,IRN
28,Congo (Kinshasa),Kinshasa,COD
29,Colombia,Bogota,COL
30,China,Shenzhen,CHN
31,China,Wuhan,CHN
32,Hong Kong,Hong Kong,HKG
33,China,Tianjin,CHN
34,India,Chennai,IND
35,Taiwan,Taipei,TWN
36,India,Bengaluru,IND
37,Thailand,Bangkok,THA
38,Pakistan,Lahore,PAK
39,China,Chongqing,CHN
40,United States,Miami,USA
41,India,Hyderabad,IND
42,United States,Dallas,USA
43,Chile,Santiago,CHL
44,United States,Philadelphia,USA
45,Brazil,Belo Horizonte,BRA
46,Spain,Madrid,ESP
47,United States,Houston,USA
48,India,Ahmadabad,IND
49,Vietnam,Ho Chi Minh City,VNM
50,United States,Washington,USA
51,United States,Atlanta,USA
52,Canada,Toronto,CAN
53,Singapore,Singapore,SGP
54,Angola,Luanda,AGO
55,Iraq,Baghdad,IRQ
56,Spain,Barcelona,ESP
57,India,Haora,IND
58,China,Shenyang,CHN
59,Sudan,Khartoum,SDN
60,India,Pune,IND
61,United States,Boston,USA
62,Australia,Sydney,AUS
63,Russia,Saint Petersburg,RUS
64,Bangladesh,Chittagong,BGD
65,China,Dongguan,CHN
66,Saudi Arabia,Riyadh,SAU
67,Vietnam,Hanoi,VNM
68,Mexico,Guadalajara,MEX
69,Australia,Melbourne,AUS
70,Egypt,Alexandria,EGY
71,China,Chengdu,CHN
72,Burma,Rangoon,MMR
73,United States,Phoenix,USA
74,China,Xi'an,CHN
75,Brazil,Porto Alegre,BRA
76,India,Surat,IND
77,China,Hechi,CHN
78,Côte D’Ivoire,Abidjan,CIV
79,Brazil,Brasilia,BRA
80,Turkey,Ankara,TUR
81,Mexico,Monterrey,MEX
82,Japan,Yokohama,JPN
83,China,Nanjing,CHN
84,Canada,Montreal,CAN
85,China,Guiyang,CHN
86,Brazil,Recife,BRA
87,United States,Seattle,USA
88,China,Harbin,CHN
89,United States,San Francisco,USA
90,Brazil,Fortaleza,BRA
91,China,Zhangzhou,CHN
92,United States,Detroit,USA
93,Brazil,Salvador,BRA
94,"Korea, South",Busan,KOR
95,South Africa,Johannesburg,ZAF
96,Germany,Berlin,DEU
97,Algeria,Algiers,DZA
98,Italy,Rome,ITA
99,"Korea, North",Pyongyang,PRK
100,Colombia,Medellin,COL
101,Afghanistan,Kabul,AFG
102,Greece,Athens,GRC
103,Japan,Nagoya,JPN
104,South Africa,Cape Town,ZAF
105,United States,San Diego,USA
106,China,Changchun,CHN
107,Morocco,Casablanca,MAR
108,China,Dalian,CHN
109,India,Cawnpore,IND
110,Nigeria,Kano,NGA
111,Israel,Tel Aviv-Yafo,ISR
112,Ethiopia,Addis Ababa,ETH
113,Brazil,Curitiba,BRA
114,China,Zibo,CHN
115,Saudi Arabia,Jeddah,SAU
116,Kenya,Nairobi,KEN
117,China,Hangzhou,CHN
118,South Africa,Benoni,ZAF
119,Venezuela,Caracas,VEN
120,Italy,Milan,ITA
121,Germany,Stuttgart,DEU
122,China,Kunming,CHN
123,Tanzania,Dar es Salaam,TZA
124,United States,Minneapolis,USA
125,India,Jaipur,IND
126,China,Taiyuan,CHN
127,Germany,Frankfurt,DEU
128,China,Qingdao,CHN
129,Indonesia,Surabaya,IDN
130,Portugal,Lisbon,PRT
131,United States,Tampa,USA
132,China,Jinan,CHN
133,Japan,Fukuoka,JPN
134,Brazil,Campinas,BRA
135,United States,Denver,USA
136,Taiwan,Kaohsiung,TWN
137,Philippines,Quezon City,PHL
138,Poland,Katowice,POL
139,Syria,Aleppo,SYR
140,South Africa,Durban,ZAF
141,Ukraine,Kyiv,UKR
142,India,Lucknow,IND
143,Egypt,Giza,EGY
144,China,Zhengzhou,CHN
145,Taiwan,Taichung,TWN
146,United States,Brooklyn,USA
147,Nigeria,Ibadan,NGA
148,Pakistan,Faisalabad,PAK
149,China,Fuzhou,CHN
150,China,Changsha,CHN
151,Senegal,Dakar,SEN
152,Turkey,Izmir,TUR
153,China,Xiangtan,CHN
154,China,Lanzhou,CHN
155,"Korea, South",Incheon,KOR
156,Japan,Sapporo,JPN
157,China,Xiamen,CHN
158,Ecuador,Guayaquil,ECU
159,Malaysia,George Town,MYS
160,Iran,Mashhad,IRN
161,Syria,Damascus,SYR
162,"Korea, South",Daegu,KOR
163,India,Nagpur,IND
164,China,Lianshan,CHN
165,China,Shijiazhuang,CHN
166,Tunisia,Tunis,TUN
167,Austria,Vienna,AUT
168,China,Jilin,CHN
169,Sudan,Omdurman,SDN
170,Indonesia,Bandung,IDN
171,Indonesia,Bekasi,IDN
172,Germany,Mannheim,DEU
173,China,Nanchang,CHN
174,China,Wenzhou,CHN
175,United States,Queens,USA
176,Canada,Vancouver,CAN
177,United Kingdom,Birmingham,GBR
178,Colombia,Cali,COL
179,Italy,Naples,ITA
180,Japan,Sendai,JPN
181,United Kingdom,Manchester,GBR
182,Mexico,Puebla,MEX
183,Libya,Tripoli,LBY
184,Uzbekistan,Tashkent,UZB
185,Cuba,Havana,CUB
186,China,Gaoping,CHN
187,United States,Baltimore,USA
188,China,Nanning,CHN
189,Brazil,Belem,BRA
190,India,Patna,IND
191,Dominican Republic,Santo Domingo,DOM
192,China,Urumqi,CHN
193,China,Zaozhuang,CHN
194,Azerbaijan,Baku,AZE
195,Ghana,Accra,GHA
196,China,Yantai,CHN
197,Indonesia,Medan,IDN
198,Bolivia,Santa Cruz,BOL
199,China,Tongshan,CHN
200,United States,Riverside,USA
201,China,Linyi,CHN
202,United States,St. Louis,USA
203,United States,Las Vegas,USA
204,Venezuela,Maracaibo,VEN
205,Kuwait,Kuwait City,KWT
206,Saudi Arabia,Ad Dammam,SAU
207,United States,Portland,USA
208,China,Haikou,CHN
209,Japan,Hiroshima,JPN
210,China,Baotou,CHN
211,China,Hefei,CHN
212,India,Indore,IND
213,Brazil,Goiania,BRA
214,Yemen,Sanaa,YEM
215,United States,San Antonio,USA
216,Haiti,Port-au-Prince,HTI
217,Vietnam,Haiphong,VNM
218,China,Suzhou,CHN
219,China,Nanyang,CHN
220,Romania,Bucharest,ROU
221,China,Ningbo,CHN
222,Cameroon,Douala,CMR
223,China,Tangshan,CHN
224,Taiwan,Tainan,TWN
225,China,Xiping,CHN
226,Paraguay,Asuncion,PRY
227,Pakistan,Saidu Sharif,PAK
228,Australia,Brisbane,AUS
229,Pakistan,Rawalpindi,PAK
230,United States,Sacramento,USA
231,Lebanon,Beirut,LBN
232,United States,San Jose,USA
233,Belarus,Minsk,BLR
234,Japan,Kyoto,JPN
235,Colombia,Barranquilla,COL
236,United States,Orlando,USA
237,China,Shuyangzha,CHN
238,Venezuela,Valencia,VEN
239,Germany,Hamburg,DEU
240,India,Vadodara,IND
241,Brazil,Manaus,BRA
242,China,Shangqiu,CHN
243,China,Wuxi,CHN
244,Indonesia,Palembang,IDN
245,Belgium,Brussels,BEL
246,Germany,Essen,DEU
